matchDateTime,homeTeamName,awayTeamName,odds_home,odds_draw,odds_away,score,season
Unknown 14:00,Meppen,Saarbrucken,3.11,3.49,2.23,1-0,2020-2021
Unknown 14:00,Wehen,Hallescher,2.19,3.34,3.32,1-1,2020-2021
08 Jan 2021 19:00,Mannheim,Verl,2.74,3.44,2.5,2-2,2020-2021
23 Dec 2020 17:30,Meppen,Turkgucu Munchen,3.13,3.46,2.2,1-4,2020-2021
20 Dec 2020 14:00,Zwickau,Hansa Rostock,3.21,3.27,2.26,0-2,2020-2021
Unknown 13:00,Verl,Turkgucu Munchen,2.07,3.63,3.31,0-1,2020-2021
19 Dec 2020 14:00,Viktoria Koln,SG Dynamo Dresden,3.72,3.62,1.95,2-4,2020-2021
Unknown 14:00,Lubeck,Meppen,2.11,3.44,3.42,0-2,2020-2021
Unknown 14:00,Saarbrucken,Ingolstadt,2.55,3.35,2.74,3-3,2020-2021
Unknown 14:00,Uerdingen,Kaiserslautern,2.41,3.21,3.05,0-2,2020-2021
Unknown 14:00,Unterhaching,Bayern II,2.39,3.48,2.8,1-1,2020-2021
18 Dec 2020 19:00,Munich 1860,Wehen,1.86,3.66,4.09,2-2,2020-2021
16 Dec 2020 19:00,Bayern II,Duisburg,1.82,4.01,3.84,1-1,2020-2021
Unknown 19:00,Viktoria Koln,Uerdingen,3.08,3.2,2.36,0-2,2020-2021
Unknown 19:00,Ingolstadt,Hansa Rostock,2.38,3.02,3.14,1-0,2020-2021
Unknown 19:00,Meppen,Zwickau,2.45,3.44,2.74,1-2,2020-2021
15 Dec 2020 19:00,SG Dynamo Dresden,Verl,2.31,3.42,2.97,4-1,2020-2021
Unknown 19:00,Kaiserslautern,Munich 1860,2.95,3.17,2.45,0-3,2020-2021
Unknown 19:00,Mannheim,Unterhaching,2.26,3.51,2.99,1-4,2020-2021
Unknown 19:00,Turkgucu Munchen,Hallescher,2.04,3.56,3.42,0-3,2020-2021
Unknown 19:00,Wehen,Lubeck,2.04,3.55,3.43,4-2,2020-2021
13 Dec 2020 14:00,Hansa Rostock,Meppen,1.57,4.09,5.42,0-2,2020-2021
Unknown 13:00,Saarbrucken,Bayern II,1.86,3.87,3.73,1-2,2020-2021
12 Dec 2020 14:00,Duisburg,Wehen,3.87,3.77,1.86,4-1,2020-2021
Unknown 14:00,Hallescher,SG Dynamo Dresden,2.92,3.28,2.4,1-3,2020-2021
Unknown 14:00,Lubeck,Magdeburg,2.11,3.39,3.38,1-1,2020-2021
Unknown 14:00,Munich 1860,Mannheim,2.03,3.61,3.38,5-0,2020-2021
Unknown 14:00,Uerdingen,Turkgucu Munchen,2.72,3.31,2.53,1-0,2020-2021
Unknown 14:00,Verl,Viktoria Koln,1.83,3.76,4.04,1-1,2020-2021
11 Dec 2020 19:00,Unterhaching,Kaiserslautern,2.84,3.18,2.51,2-0,2020-2021
08 Dec 2020 19:00,Meppen,Mannheim,3.6,3.61,1.95,2-0,2020-2021
06 Dec 2020 14:00,Verl,Hallescher,2.04,3.51,3.47,4-2,2020-2021
Unknown 13:00,Wehen,Hansa Rostock,2.86,3.26,2.42,2-1,2020-2021
05 Dec 2020 14:00,SG Dynamo Dresden,Uerdingen,2.03,3.38,3.57,0-0,2020-2021
Unknown 14:00,Viktoria Koln,Munich 1860,3.13,3.68,2.09,2-1,2020-2021
Unknown 14:00,Ingolstadt,Lubeck,1.78,3.65,4.24,1-1,2020-2021
Unknown 14:00,Kaiserslautern,Duisburg,1.65,3.84,4.97,2-2,2020-2021
Unknown 14:00,Mannheim,Saarbrucken,2.61,3.47,2.51,4-1,2020-2021
04 Dec 2020 19:00,Magdeburg,Meppen,2.15,3.3,3.34,0-0,2020-2021
02 Dec 2020 19:00,Hallescher,Unterhaching,2.41,3.28,2.88,2-0,2020-2021
Unknown 19:00,Hansa Rostock,Turkgucu Munchen,1.9,3.53,3.97,2-0,2020-2021
30 Nov 2020 19:00,Meppen,Ingolstadt,4.29,3.76,1.79,2-0,2020-2021
29 Nov 2020 14:00,Saarbrucken,Kaiserslautern,2.03,3.53,3.44,1-1,2020-2021
Unknown 13:00,Duisburg,SG Dynamo Dresden,3.93,3.68,1.87,0-3,2020-2021
28 Nov 2020 14:00,Hallescher,Viktoria Koln,2.12,3.49,3.24,2-0,2020-2021
Unknown 14:00,Hansa Rostock,Bayern II,1.59,4.17,5.11,2-0,2020-2021
Unknown 14:00,Munich 1860,Turkgucu Munchen,2.25,3.37,3.11,2-2,2020-2021
Unknown 14:00,Unterhaching,Wehen,3.0,3.41,2.28,2-1,2020-2021
Unknown 14:00,Zwickau,Magdeburg,2.24,3.2,3.28,0-1,2020-2021
27 Nov 2020 19:00,Uerdingen,Verl,2.61,3.23,2.7,1-2,2020-2021
25 Nov 2020 19:00,Bayern II,Ingolstadt,2.46,3.58,2.63,1-3,2020-2021
Unknown 19:00,SG Dynamo Dresden,Unterhaching,1.93,3.53,3.86,2-0,2020-2021
Unknown 19:00,Viktoria Koln,Zwickau,2.4,3.47,2.75,1-1,2020-2021
Unknown 19:00,Kaiserslautern,Lubeck,2.05,3.34,3.62,1-0,2020-2021
Unknown 19:00,Magdeburg,Hansa Rostock,3.89,3.52,1.9,1-1,2020-2021
24 Nov 2020 19:30,Verl,Munich 1860,2.46,3.48,2.67,1-1,2020-2021
Unknown 19:00,Mannheim,Duisburg,1.54,4.33,5.49,2-2,2020-2021
Unknown 19:00,Turkgucu Munchen,Saarbrucken,2.83,3.32,2.39,1-1,2020-2021
Unknown 19:00,Uerdingen,Hallescher,2.28,3.31,3.04,0-1,2020-2021
Unknown 19:00,Wehen,Meppen,1.49,4.53,5.54,1-0,2020-2021
22 Nov 2020 15:00,Ingolstadt,Magdeburg,1.69,3.66,4.99,1-0,2020-2021
Unknown 14:00,Unterhaching,Viktoria Koln,1.95,3.63,3.69,2-2,2020-2021
Unknown 13:00,Lubeck,Bayern II,2.74,3.7,2.32,3-0,2020-2021
21 Nov 2020 14:00,Hallescher,Kaiserslautern,3.2,3.49,2.16,1-1,2020-2021
Unknown 14:00,Hansa Rostock,SG Dynamo Dresden,2.06,3.31,3.64,1-3,2020-2021
Unknown 14:00,Munich 1860,Uerdingen,1.82,3.52,4.33,0-0,2020-2021
Unknown 14:00,Saarbrucken,Wehen,2.07,3.55,3.32,3-3,2020-2021
Unknown 14:00,Zwickau,Mannheim,3.14,3.49,2.17,0-0,2020-2021
20 Nov 2020 19:00,Duisburg,Verl,3.01,3.48,2.26,0-4,2020-2021
17 Nov 2020 19:00,Duisburg,Hallescher,2.42,3.4,2.8,0-0,2020-2021
16 Nov 2020 19:00,Verl,Lubeck,1.94,3.7,3.58,1-2,2020-2021
15 Nov 2020 14:00,SG Dynamo Dresden,Munich 1860,2.87,3.35,2.4,2-1,2020-2021
14 Nov 2020 14:00,Hallescher,Hansa Rostock,3.54,3.42,2.04,1-1,2020-2021
Unknown 14:00,Kaiserslautern,Magdeburg,1.81,3.57,4.31,1-1,2020-2021
